,Video_Title,Published_date,Views,Likes,Comments,Month
209,Complete Placement Guide 🔥 | How to study in Last 3 Months? @ApnaCollege,6/9/2022,764951,38534,828,Jun
210,Why do we use QWERTY Keyboards?,6/8/2022,12802972,830153,3879,Jun
211,How to get rid of bad habits?,6/6/2022,675760,65161,832,Jun
212,A Burning Desire is NOT enough without Action.,6/5/2022,604780,72623,432,Jun
213,How Whatsapp Earns ?,6/1/2022,1683333,137153,318,Jun
214,How to write Code in Interviews? | Placement & Internship Edition,5/31/2022,374699,16839,493,May
215,Bloopers - First Time in India in Teaching | Golden Hat-trick,5/29/2022,2936237,207359,859,May
216,Binary Search Trees | BST in One Video | Java Placement Course | Data Structures & Algorithms,5/28/2022,296343,6258,409,May
217,How will 5G network change India?,5/26/2022,1311604,123213,1691,May
218,IPL Live Streaming | How does Online Video Streaming work?,5/25/2022,446754,20434,763,May
219,Was Facebook not Mark Zuckerberg's Idea?,5/23/2022,1345852,139898,489,May
220,How to build Strong Programming Logic? | College Placement & Internships,5/20/2022,719416,33585,1080,May
221,What we CANNOT learn from Technology?,5/18/2022,624784,67854,265,May
222,Can computers create Art?,5/16/2022,377867,38991,214,May
223,Summer Vacation Plans for College Students,5/14/2022,236254,13220,840,May
224,What is your Superpower?,5/12/2022,256759,30104,186,May
225,How to Prepare for Core Placements? | Step by Step | Resume Building,5/10/2022,137029,6429,328,May
226,Biggest Startup Fraud,5/7/2022,3782741,288433,909,May
227,Ab India seekhega Coding ❤️,5/4/2022,26262996,1105410,4331,May
228,3 Tips for Interviews,5/1/2022,849011,95723,180,May
229,Guaranteed Placement DSA Sheet | Tech Placement,4/29/2022,812951,38626,1378,Apr
230,Elon Musk v/s Twitter,4/28/2022,453517,34975,156,Apr
231,How much Coding to learn for Placements? Data Structure & Algorithms,4/27/2022,1557146,67832,1387,Apr
232,"Why do we write ""Hello World""?",4/25/2022,395761,35990,250,Apr
233,China does not use Google,4/23/2022,2408248,193503,538,Apr
234,Weirdest Programming Languages of the World,4/23/2022,857011,70318,373,Apr
235,This 15 year old boy HACKED NASA,4/21/2022,3386683,281478,1258,Apr
236,How to protect your eyes from Mobile/Laptop ?,4/20/2022,3694288,298405,1006,Apr
237,Should you join a Startup in 2022?,4/19/2022,85023,5067,284,Apr
238,Top IT Companies that recruit Engineering Freshers,4/18/2022,725105,56156,223,Apr
239,How to Start Web Development? Complete Roadmap for FullStack Developer | 2022,4/16/2022,2781176,137336,3375,Apr
240,5 Things about Microsoft you didn't know,4/15/2022,654362,59438,237,Apr
241,Top NITs of India & their Placements (2019-2020),4/14/2022,1151568,72975,635,Apr
242,5 Most Expensive NFTs!,4/13/2022,176505,10398,95,Apr
243,7 Best Websites for Internships🔥,4/12/2022,976076,125677,264,Apr
244,Why do you Procrastinate? 5 Steps to BEAT IT.,4/11/2022,641429,45747,1126,Apr
245,How to beat Laziness?,4/10/2022,877081,103007,255,Apr
246,3 Coding Languages for 2022,4/9/2022,3905315,396040,1523,Apr
247,How to make money from Coding? 5 ways to earn without a job or degree,4/8/2022,1515747,77283,949,Apr
248,Why is Coding Important?,4/7/2022,6501371,611116,1438,Apr
249,Why Google was a mistake?,4/5/2022,1569904,125654,169,Apr
250,React Native vs Flutter | Which one should you Learn in 2022 ?,4/4/2022,434583,13736,664,Apr
251,3 Best Websites for College Students,4/3/2022,2079194,218663,224,Apr
252,A brief history of Youtube,4/2/2022,303812,22829,90,Apr
253,Competitive Programming - How to Start? Complete Guide,4/1/2022,430494,24634,693,Apr
254,5 Tricks of Google Search,3/31/2022,11262433,875603,1458,Mar
255,How to become a Blockchain Developer in 2022?  | 🔥 Complete Roadmap + Salary + Tech Stack,3/30/2022,1190669,38928,1628,Mar
256,How to make the Best Time Table? | Time Management for Students,3/29/2022,1246145,68804,1117,Mar
257,Is being Lazy good for you?,3/28/2022,148299,15674,118,Mar
258,3 Mistakes we do while Studying,3/26/2022,1548890,166225,628,Mar
259,HTML Tutorial for Beginners | Complete HTML with Notes & Code,3/22/2022,7963850,203266,10741,Mar
260,Time is NOT Money,3/20/2022,204929,24351,190,Mar
261,One thing we think of many times in our life,3/18/2022,282860,25737,155,Mar
262,How to prepare for Offline College Exams? 5 Life Saving Tips,3/14/2022,275171,18236,557,Mar
263,How to Increase Self Confidence?,3/11/2022,1959393,243453,680,Mar
264,C Language Tutorial for Beginners (with Notes & Practice Questions),3/6/2022,19819495,344902,19293,Mar
265,1 Tip to Manage Stress,3/3/2022,344855,34115,204,Mar
266,Government or Private | What job to do?,2/28/2022,409369,19344,1208,Feb
267,How to Save Money in College?,2/27/2022,565076,49578,527,Feb
268,3 Steps to ACHIEVE MORE in LESS TIME,2/25/2022,539574,60401,158,Feb
269,10 Career Options after BCA in 2022,2/24/2022,1102043,52378,2633,Feb
270,3 Tips for taking Notes,2/22/2022,5770101,457621,1571,Feb
271,One Lesson from Olympic Winners,2/21/2022,340326,42563,278,Feb
272,How to Hack Password?,2/19/2022,4594816,189995,3867,Feb
273,Is Linux better than Windows?,2/18/2022,586281,26143,1379,Feb
274,The 90 Minute Rule for better Sleep!,2/16/2022,4566038,357851,1029,Feb
275,Career Options after Btech/BE in 2022 | 15 Different Paths,2/15/2022,902231,36993,2146,Feb
276,Engineers after Valentines Day❤️,2/14/2022,293339,22276,436,Feb
277,C++ or Java | Which coding language to learn?,2/11/2022,796334,39438,1247,Feb
278,How to join ISRO ? | How to become a Scientist in ISRO? Full Information,2/10/2022,1397448,52546,1488,Feb
279,5 Secrets Behind Success in Life | by Aman Dhattarwal,2/8/2022,410120,48892,87,Feb
280,Why should you not code?,2/7/2022,451656,25631,1148,Feb
281,Binary Tree in Data Structures | All about Binary Tree | DSA Course,2/6/2022,979443,17407,623,Feb
282,Core Branch - Should you Learn Coding? | Tech Placement Special,2/4/2022,347332,17434,1015,Feb
283,Why we Don't have Enough Time?,2/3/2022,479479,56144,242,Feb
284,5 Things I wish I knew when I started Programming,2/2/2022,503468,30162,792,Feb
285,iPhone has a Secret Button,2/1/2022,1257372,99287,686,Feb
286,How much Sleep do you Actually Need?,1/31/2022,372191,25844,800,Jan
287,"1 Thing for Long Term Success | It's Not Talent, IQ or Money",1/29/2022,583913,81253,350,Jan
288,What are NFTs? Simply Explained | Non-Fungible Token,1/28/2022,713649,35028,960,Jan
289,How to Start Coding? Learn Programming for Beginners,1/25/2022,5249569,225617,3818,Jan
290,Tell Me About Yourself | How to Introduce Yourself in Interviews? Best Answer,1/24/2022,2058981,59597,632,Jan
291,How to Stop Distractions & Increase Focus?,1/21/2022,475741,29964,886,Jan
292,Are You an Introvert? Is it good in 2022 ?,1/17/2022,330574,21781,1128,Jan
293,4 Years of Coding in 4 Minutes - A Short Movie,1/14/2022,8189313,304745,5139,Jan
294,QnA with Aman Bhaiya & Shradha Didi🔥| Special Event | @ApnaCollegeOfficial,1/11/2022,556646,28994,772,Jan
295,Complete Queue Data Structure | in One Shot | Java Placement Course,1/10/2022,312316,5729,319,Jan
296,1 Lesson to learn from Billionaires,1/9/2022,397336,54458,208,Jan
297,How to Manage College Study & Coding together? 3 Simple Tips,1/8/2022,639658,38946,1066,Jan
298,Top 5 Coding Languages for 2022 | Opportunities & Packages,1/6/2022,483960,25573,820,Jan
299,3 Steps For More Productivity in Life,1/4/2022,1705878,193767,466,Jan
300,5 Coding Myths | This can save your years,1/3/2022,381999,21814,609,Jan
301,This company gives FREE cookies,1/2/2022,1878767,130825,662,Jan
302,What is Coding? How to Learn as Beginner? 2022,1/1/2022,1646981,81355,1268,Jan
303,Should you do a Start up in 2022?,12/31/2021,289347,24539,183,Dec
304,5 Tools that make you Code Faster | using VSCode Extensions,12/29/2021,791074,31652,681,Dec
305,Don't do these 3 Mistakes in College | Placement Special,12/28/2021,153740,10889,305,Dec
306,All about Digital Marketing | Simply Explained,12/25/2021,1786072,65262,1475,Dec
307,Stack Data Structure in One Video | Java Placement Course,12/24/2021,403209,7501,234,Dec
308,2 Years of College in 20 Seconds,12/22/2021,203143,9229,117,Dec
309,"All about Game development | What to study, jobs, packages? Simply Explained",12/20/2021,1263702,61602,1226,Dec
310,3 Things You MUST Do in College,12/19/2021,684033,64408,181,Dec
311,ReactJS Tutorial for Beginners | Learn React in 2.5 Hours | Part 1,12/17/2021,718333,15888,668,Dec
312,Quick Sort For Beginners | Java Placement Course | @ApnaCollegeOfficial,12/15/2021,345195,6975,308,Dec
313,Why so many Coding Languages are created?,12/13/2021,494877,27685,902,Dec
314,Merge Sort | For Beginners | Java Placement Course,12/12/2021,398526,7536,293,Dec
315,Elon Musk : The World is NOT Real | Do we live in a Coded Simulation? | The Matrix Special,12/10/2021,144304,9247,462,Dec
316,400+ Jobs | Cloud Career Fair by Microsoft & Monster Jobs | Velocity 2021,12/8/2021,83130,4848,226,Dec
317,Java Sudoku Solver | Backtracking | Java Placement Course,12/7/2021,192527,4400,261,Dec
318,How to stay Motivated for your Goal?,12/5/2021,2284595,235892,1351,Dec
319,What is AI? Artificial Intelligence Explained,12/4/2021,594296,25330,731,Dec
320,Python Tutorial for Beginners | Learn Python in 1.5 Hours,12/2/2021,6991487,187032,5358,Dec
321,Backtracking | N Queens Problem | Permutations |  The Java Placement Course | Apna College |,12/1/2021,280203,5016,361,Dec
322,Job Interviews | 5 Super Tips to Crack Online Job Interviews,11/30/2021,139160,7898,444,Nov
323,3 Tips to have More Confidence | Simply Explained,11/29/2021,2274488,237088,534,Nov
324,How to Host a Static Website?,11/28/2021,217171,4782,393,Nov
325,iPad | Should you buy it?,11/27/2021,2657579,178957,1183,Nov
326,How Google defeat its Competition? Simply Explained,11/26/2021,214386,13818,502,Nov
327,How to make a Great Project for Internships & Placements?,11/24/2021,1429673,58376,1110,Nov
328,Most IMPORTANT Linked List Questions for Placements | Java Full Course,11/22/2021,199220,3936,253,Nov
329,College Shopping | What all things to buy for College,11/21/2021,1419364,85753,1984,Nov
330,Top 3 Languages to Learn for GSoC 2022,11/20/2021,162274,8987,322,Nov
